,0
369,until
370,maybe
371,hell
372,since
373,30
374,gone
375,hurts
376,later
377,iphone
378,thank
379,party
380,xd
381,favorite
382,follow
383,gotta
384,waiting
385,guys
386,high
387,full
388,stupid
389,pain
390,doctor
391,birthday
392,care
393,rt
394,eat
395,van
396,cuz
397,open
398,random
399,city
400,stay
401,saying
402,sad
403,church
404,under
405,pneumonia
406,month
407,mean
408,declining
409,talking
410,taking
411,goes
412,few
413,sucks
414,okay
415,season
416,l
417,nowplaying
418,myself
419,justin
420,facebook
421,cute
422,episode
423,ugh
424,bout
425,years
426,white
427,fatigue
428,saw
429,outside
430,brother
431,el
432,top
433,job
434,excited
435,ask
436,weather
437,niet
438,weird
439,fall
440,sweats
441,fb
442,bit
443,went
444,buy
445,sometimes
446,reason
447,thinking
448,late
449,listening
450,lost
451,called
452,trending
453,turn
454,body
455,seriously
456,blood
457,hear
458,might
459,met
460,mad
461,9
462,rofl
463,told
464,er
465,red
466,half
467,ghettocrayoncolors
468,hopefully
469,water
470,comes
471,eyes
472,run
473,wit
474,found
475,leave
476,yeah
477,gets
478,kids
479,book
480,hour
481,light
482,girls
483,1st
484,sun
485,xbox
486,social
487,dream
488,line
489,shark
490,hit
491,remember
492,yay
493,basketball
494,plan
495,sorry
496,win
497,alarm
498,once
499,used
500,chocolate
501,je
502,short
503,men
504,everybody
505,tweets
506,maar
507,office
508,f
509,lil
510,diarrhea
511,starting
512,security
513,te
514,minutes
515,check
516,sister
517,totally
518,boring
519,read
520,11
521,perfect
522,rain
523,online
524,wasn
525,dinner
526,fast
527,internet
528,worth
529,power
530,coffee
531,idea
532,chicken
533,super
534,lord
535,story
536,0
537,question
538,least
539,problem
540,yo
541,filled
542,eating
543,side
544,currently
545,ass
546,cough
547,kinda
548,laying
549,bored
550,haven
551,seems
552,g
553,able
554,worst
555,12
556,sweet
557,followers
558,art
559,between
560,bill
561,problems
562,kind
563,yesterday
564,wants
565,20
566,weer
567,behind
568,dude
569,film
570,reading
571,point
572,dog
573,past
574,moment
575,business
576,plane
577,hand
578,sitting
579,break
580,truth
581,somebody
582,till
583,running
584,goin
585,cleaning
586,shortness
587,tough
588,walk
589,tweeps
590,future
591,woman
592,soo
593,voice
594,deal
595,ago
596,drive
597,festival
598,probably
599,using
600,sooo
601,glad
602,important
603,fact
604,wake
605,horrible
606,ill
607,tcot
608,dan
609,ice
610,living
611,jus
612,team
613,staying
614,slow
615,nose
616,seeing
617,happen
618,less
619,town
620,john
621,different
622,sore
623,number
624,words
625,easy
626,mouth
627,al
628,close
629,both
630,breathing
631,traffic
632,inside
633,letters
634,weeks
635,q
636,second
637,nu
638,throat
639,yourself
640,eu
641,hahaha
642,blows
643,feels
644,ha
645,bomb
646,asleep
647,hurt
648,15
649,inception
650,wont
651,jesus
652,mine
653,missing
654,understand
655,obama
656,small
657,came
658,kid
659,technology
660,green
661,means
662,friday
663,air
664,voor
665,started
666,leaving
667,fail
668,store
669,quite
670,lady
671,app
672,books
673,matter
674,dry
675,kill
676,front
677,depressing
678,bieber
679,possible
680,road
681,em
682,together
683,interesting
684,thats
685,forever
686,zo
687,alone
688,self
689,drink
690,loving
691,arts
692,computer
693,clean
694,suffering
695,forward
696,dis
697,listen
698,bring
699,step
700,theater
701,dies
702,special
703,sham
704,minute
705,mother
706,evening
707,death
708,young
709,women
710,antique
711,son
712,nog
713,door
714,control
715,cablegate
716,text
717,quote
718,others
719,test
720,sleeping
721,album
722,children
723,near
724,finished
725,success
726,comic
727,plenty
728,fight
729,each
730,forget
731,driving
732,fine
733,k
734,giving
735,knows
736,wishes
737,busy
738,state
739,longer
740,moving
741,cut
742,following
743,bought
744,keeps
745,dear
746,nap
747,market
748,pay
749,ma
750,np
751,list
752,natural
753,briefing
754,dance
755,aint
756,anymore
757,eye
758,100
759,movies
760,post
761,single
762,sake
763,broken
764,three
765,boys
766,huge
767,pass
768,lunch
769,swear
770,street
771,catch
772,cannot
773,answer
774,smile
775,against
776,temp
777,awake
778,rock
779,breakuplines
780,indonesia
781,war
782,tt
783,pm
784,tweeting
785,lay
786,hilarious
787,se
788,sound
789,ipod
790,peeps
791,h
792,blue
793,earth
794,briefly
795,watched
796,thinks
797,radio
798,shopping
799,ugly
800,either
801,hold
802,nobody
803,learn
804,google
805,2nd
806,instead
807,sookie
808,sky
809,ah
810,act
811,took
812,takes
813,friendship
814,update
815,sickly
816,woke
817,echt
818,dreadful
819,na
820,stuck
821,building
822,gettin
823,soul
824,parents
825,tho
826,apparently
827,bus
828,nd
829,class
830,singing
831,superpowers
832,nation
833,wanted
834,missed
835,enjoy
836,eric
837,calling
838,truck
839,race
840,als
841,camp
842,whatever
843,101
844,service
845,breakfast
846,dnt
847,possibly
848,di
849,ruining
850,channel
851,lie
852,extremely
853,child
854,wife
855,50
856,order
857,wel
858,especially
859,j
860,13
861,beg
862,laptop
863,aching
864,fried
865,hands
866,low
867,cry
868,hungry
869,club
870,ga
871,idk
872,strong
873,poor
874,serious
875,trust
876,yu
877,ed
878,band
879,songs
880,star
881,officially
882,dreams
883,beach
884,faith
885,cat
886,james
887,um
888,course
889,wedding
890,writing
891,during
892,brain
893,hmm
894,sam
895,sign
896,soooo
897,yall
898,park
899,greatest
900,lives
901,ipad
902,burning
903,lisa
904,space
905,dark
906,web
907,country
908,wearing
909,f1
910,fear
911,beat
912,headed
913,aan
914,forgot
915,shows
916,accident
917,timeline
918,meet
919,everywhere
920,starts
921,afternoon
922,rather
923,burn
924,tea
925,human
926,chance
927,trip
928,college
929,muscles
930,fitness
931,page
932,definitely
933,national
934,married
935,fan
936,mr
937,london
938,kno
939,wind
940,v
941,sounds
942,mijn
943,christmas
944,mum
945,everyday
946,games
947,football
948,ben
949,supposed
950,asked
951,middle
952,clothes
953,key
954,months
955,naar
956,st
957,crap
958,happiness
959,telling
960,write
961,law
962,39
963,works
964,become
965,holiday
966,soup
967,earthquake
968,hoping
969,00
970,knew
971,save
972,fat
973,til
974,runny
975,simpson
976,shower
977,laugh
978,mi
979,currents
980,loved
981,michael
982,realize
983,walking
984,tha
985,picture
986,ook
987,train
988,airport
989,choice
990,happening
991,brown
992,david
993,loves
994,july
995,president
996,spend
997,mercy
998,ride
999,shot
1000,oldspice
1001,age
1002,police
1003,final
1004,sit
1005,16
1006,ain
1007,cream
1008,un
1009,tony
1010,bye
1011,sharkweek
1012,wonderful
1013,account
1014,reality
1015,000
1016,wondering
1017,media
1018,gift
1019,personal
1020,warm
1021,secret
1022,king
1023,bedridden
1024,deep
1025,history
1026,sigh
1027,hello
1028,gave
1029,box
1030,fair
1031,ima
1032,peace
1033,floor
1034,scary
1035,felt
1036,hospital
1037,pick
1038,paper
1039,date
1040,finish
1041,wear
1042,08
1043,ones
1044,mess
1045,mood
1046,report
1047,hi
1048,om
1049,straight
1050,concert
1051,bday
1052,due
1053,drunk
1054,cousin
1055,lmfao
1056,snow
1057,watchin
1058,support
1059,sense
1060,lots
1061,ex
1062,lets
1063,relationship
1064,touch
1065,played
1066,amp
1067,tried
1068,holy
1069,total
1070,para
1071,toilet
1072,ground
1073,40
1074,study
1075,14
1076,chest
1077,vote
1078,helping
1079,loss
1080,scared
1081,begging
1082,anybody
1083,vs
1084,es
1085,bb
1086,action
1087,feet
1088,send
1089,happens
1090,site
1091,tht
1092,heat
1093,seem
1094,safe
1095,bet
1096,letter
1097,meeting
1098,thru
1099,needed
1100,baseball
1101,completely
1102,fix
1103,track
1104,18
1105,couple
1106,blog
1107,lead
1108,heading
1109,drinking
1110,24
1111,message
1112,type
1113,smell
1114,finding
1115,cheer
1116,sports
1117,lovely
1118,public
1119,whats
1120,dumb
1121,bar
1122,normal
1123,energy
1124,los
1125,happened
1126,25
1127,dr
1128,ze
1129,alive
1130,version
1131,complete
1132,freaking
1133,beauty
1134,con
1135,father
1136,shall
1137,add
1138,quiet
1139,iphone4
1140,falling
1141,along
1142,experience
1143,anyway
1144,joke
1145,hmmm
1146,ahead
1147,fashion
1148,crying
1149,rough
1150,fish
1151,questions
1152,boyfriend
1153,gas
1154,pray
1155,desire
1156,loud
1157,stream
1158,original
1159,realized
1160,youtube
1161,company
1162,wikileaks
1163,beer
1164,dying
1165,nurse
1166,fresh
1167,thingsuglypeopledo
1168,lazy
1169,anytime
1170,goal
1171,drug
1172,exactly
1173,bb11
1174,simple
1175,style
1176,imma
1177,shirt
1178,knowing
1179,record
1180,lo
1181,english
1182,blackberry
1183,enjoying
1184,vacation
1185,million
1186,west
1187,attention
1188,broke
1189,fml
1190,ab
1191,adam
1192,truly
1193,asking
1194,seconds
1195,17
1196,therapy
1197,wen
1198,suck
1199,alright
1200,design
1201,round
1202,group
1203,cup
1204,china
1205,speak
1206,shut
1207,bro
1208,co
1209,kiss
1210,scene
1211,fake
1212,convetion
1213,fav
1214,card
1215,constant
1216,sherlock
1217,nite
1218,quero
1219,epic
1220,cake
1221,chris
1222,por
1223,ruined
1224,shock
1225,heb
1226,tax
1227,prime
1228,plans
1229,beyond
1230,plus
1231,pie
1232,flying
1233,fans
1234,putting
1235,biggest
1236,beginning
1237,remix
1238,didnt
1239,chick
1240,teacher
1241,cooking
1242,natal
1243,lame
1244,system
1245,screen
1246,large
1247,killed
1248,changed
1249,com
1250,sum
1251,luck
1252,tryna
1253,calls
1254,impossible
1255,nick
1256,mama
1257,window
1258,ate
1259,qanda
1260,digging
1261,topic
1262,trouble
1263,dit
1264,difficult
1265,21
1266,official
1267,getta
1268,absolutely
1269,issue
1270,ridiculous
1271,decided
1272,gym
1273,south
1274,net
1275,cook
1276,turned
1277,ladies
1278,appetite
1279,closed
1280,character
1281,sing
1282,zijn
1283,quick
1284,shop
1285,evil
1286,lucky
1287,extra
1288,fly
1289,except
1290,turning
1291,throwing
1292,oilspill
1293,difference
1294,wall
1295,miles
1296,kan
1297,four
1298,cheese
1299,pop
1300,thoughts
